reference_designator,name,start_depth,end_depth,location
CE02SHSM-SBD12-05-WAVSSA000,Surface Wave Spectra,0,0,"Buoy Well, center of Mass"
CE02SHSM-SBD12-08-FDCHPA000,Direct Covariance Flux,-3,-3,Buoy Tower
CE02SHSP-SP001-00-SPPENG000,Profiler Controller,0,80,
CE02SHSP-SP001-01-DOSTAJ000,Dissolved Oxygen,0,80,Surface Piercing Profiler
CE02SHSP-SP001-02-VELPTJ000,Single Point Velocity Meter,0,80,Surface Piercing Profiler
CE02SHSP-SP001-04-OPTAAJ000,Spectrophotometer,0,80,Surface Piercing Profiler
CE02SHSP-SP001-05-NUTNRJ000,Nitrate,0,80,Surface Piercing Profiler
CE02SHSP-SP001-06-SPKIRJ000,Spectral Irradiance,0,80,Surface Piercing Profiler
CE02SHSP-SP001-07-FLORTJ000,3-Wavelength Fluorometer,0,80,Surface Piercing Profiler
CE02SHSP-SP001-08-CTDPFJ000,CTD,0,80,
CE02SHSP-SP001-09-PARADJ000,Photosynthetically Available Radiation,0,80,
CE04OSBP-LJ01C-05-ADCPSI103,Velocity Profiler (75 kHz),580,580,Low-Power JBox
CE04OSBP-LJ01C-06-CTDBPO108,CTD,580,580,Low-Power JBox
CE04OSBP-LJ01C-06-DOSTAD108,Dissolved Oxygen,580,580,Low-Power JBox
CE04OSBP-LJ01C-07-VEL3DC107,3-D Single Point Velocity Meter,580,580,Low-Power JBox
CE04OSBP-LJ01C-08-OPTAAC104,Spectrophotometer,580,580,Low-Power JBox
CE04OSBP-LJ01C-09-PCO2WB104,pCO2 Water,580,580,Low-Power JBox
CE04OSBP-LJ01C-10-PHSEND107,Seawater pH,580,580,Low-Power JBox
CE04OSBP-LJ01C-11-HYDBBA105,Broadband Acoustic Receiver (Hydrophone),580,580,Low-Power JBox
CE04OSBP-LV01C-06-CAMDSB106,Digital Still Camera,580,580,Low-Voltage Node
CE04OSPD-DP01B-01-CTDPFL105,CTD,175,500,Deep Profiler
CE04OSPD-DP01B-02-VEL3DA105,3-D Single Point Velocity Meter,175,500,Deep Profiler
CE04OSPD-DP01B-04-FLCDRA103,CDOM Fluorometer,175,500,Deep Profiler
CE04OSPD-DP01B-04-FLNTUA103,2-Wavelength Fluorometer,175,500,Deep Profiler
CE04OSPD-DP01B-06-DOSTAD105,Dissolved Oxygen,175,500,Deep Profiler
CE04OSPS-PC01B-05-ZPLSCB102,Bio-acoustic Sonar (Coastal),200,200,Mid-Water Platform
CE04OSPS-PC01B-4A-CTDPFA109,CTD,200,200,Mid-Water Platform
CE04OSPS-PC01B-4A-DOSTAD109,Dissolved Oxygen,200,200,Mid-Water Platform
CE04OSPS-PC01B-4B-PHSENA106,Seawater pH,200,200,Mid-Water Platform
CE04OSPS-PC01B-4C-PCO2WA105,pCO2 Water,200,200,Mid-Water Platform
CE04OSPS-SF01B-2A-CTDPFA107,CTD,20,200,Shallow Profiler
CE04OSPS-SF01B-2A-DOFSTA107,Dissolved Oxygen,20,200,Shallow Profiler
CE04OSPS-SF01B-2B-PHSENA108,Seawater pH,20,200,Shallow Profiler
CE04OSPS-SF01B-3A-FLORTD104,3-Wavelength Fluorometer,20,200,Shallow Profiler
CE04OSPS-SF01B-3B-OPTAAD105,Spectrophotometer,20,200,Shallow Profiler
CE04OSPS-SF01B-3C-PARADA102,Photosynthetically Available Radiation,20,200,Shallow Profiler
CE04OSPS-SF01B-3D-SPKIRA102,Spectral Irradiance,20,200,Shallow Profiler
CE04OSPS-SF01B-4A-NUTNRA102,Nitrate,20,200,Shallow Profiler
CE04OSPS-SF01B-4B-VELPTD106,Single Point Velocity Meter,20,200,Shallow Profiler
CE04OSPS-SF01B-4F-PCO2WA102,pCO2 Water,20,200,Shallow Profiler
CE04OSSM-RIC21-00-CPMENG000,Platform Controller,7,7,
CE04OSSM-RID26-00-DCLENG000,Data Concentrator Logger (DCL),7,7,
CE04OSSM-RID26-01-ADCPTC000,Velocity Profiler (300kHz),7,7,Near Surface Instrument Frame
CE04OSSM-RID26-04-VELPTA000,Single Point Velocity Meter,7,7,Near Surface Instrument Frame
CE04OSSM-RID26-06-PHSEND000,Seawater pH,7,7,Near Surface Instrument Frame
CE04OSSM-RID26-07-NUTNRB000,Nitrate,7,7,Near Surface Instrument Frame
CE04OSSM-RID26-08-SPKIRB000,Spectral Irradiance,7,7,Near Surface Instrument Frame
