Array,CUID,CTD_CruiseName,CTD_CruiseLeg,Notes,filepath_primary,Quick_Look_Report,Cruise_Report,filepath_water_sampling,CTD_log_filename,chla_filename,nutrients_filename,DIC_TA_pH_filename
Coastal_Pioneer,SI-1501,Pioneer03a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-03a_SI_2015-01-10/,3204-00308_Quick_Look_Cruise_Report_Coastal_Pioneer_3a_2015-01-23_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AT-27,Pioneer04,AT-27A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-04_AT-27_2015-04-28/,3204-00402_Quick_Look_Cruise_Report_Coastal_Pioneer_4_2015-05-14_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,Pioneer-4_AT-27A_Sampling_Log.xlsx,Pioneer-4_AT-27A_chlorophyll_analysis.xlsx,Pioneer-4_AT-27A_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,AT-27,Pioneer04,AT-27B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-04_AT-27_2015-04-28/,3204-00402_Quick_Look_Cruise_Report_Coastal_Pioneer_4_2015-05-14_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,Pioneer-4_AT-27B_Sampling_Log.xlsx,Pioneer-4_AT-27B_chlorophyll_analysis.xlsx,Pioneer-4_AT-27B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,SI-1507,Pioneer04a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-04a_SI_2015-07-22/,3204-00405_Quick_Look_Cruise_Report_Coastal_Pioneer_4a_2015-07-31_Ver_1-00.pdf,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AT-31,Pioneer05,AT-31A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,PIONEER-5_AT-31A_CTD_sampling_logs v2.xlsx,Pioneer-5_AT-31A_chlorophyll_analysis.xlsx,Pioneer-5_AT-31A_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,AT-31,Pioneer05,AT-31B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,PIONEER-5_AT-31B_CTD_sampling_logs.xlsx,Pioneer-5_AT-31B_chlorophyll_analysis.xlsx,Pioneer-5_AT-31B_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,AT-31,Pioneer05,AT-31C,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05_AT-31_2015-10-11/,3204-00502_Quick_Look_Cruise_Report_Coastal_Pioneer_5_2016-01-22_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,PIONEER-5_AT-31C_CTD_sampling_logs.xlsx,no_samples,no_samples,no_samples
Coastal_Pioneer,P5a,Pioneer05a,,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-05a_SI_2016-01-18/,missing,not_expected,,missing,no_samples,no_samples,no_samples
Coastal_Pioneer,AR-04,Pioneer06,AR-04A,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06_AR-04_2016-05-12/,3204-00602_Quick_Look_Cruise_Report_Coastal_Pioneer_6_2016-06-21_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,CTD_sampling_log-AR-04A.xlsx,Pioneer-6_AR-04A_chlorophyll_analysis.xlsx,Pioneer-6_AR-04A_Nutrient_Lab_Results.xlsx,missing
Coastal_Pioneer,AR-04,Pioneer06,AR-04B,,/Volumes/webdav/OOI/Coastal Pioneer Array/Cruise Data/Pioneer-06_AR-04_2016-05-12/,3204-00602_Quick_Look_Cruise_Report_Coastal_Pioneer_6_2016-06-21_Ver_1-00.pdf,missing,Ship Data/Water Sampling/,CTD_sampling_log-AR-04B.xlsx,Pioneer-6_AR-04B_chlorophyll_analysis.xlsx,Pioneer-6_AR-04B_Nutrient_Lab_Results.xlsx,missing
