reference_designator,start_depth,end_depth,location
CE04OSSM-SBD12-05-WAVSSA000,0,0,"Buoy Well, center of Mass"
CE05MOAS-GL001-01-PARADM000,0,1000,Glider Science Bay
CE05MOAS-GL001-02-FLORTM000,0,1000,Glider Science Bay
CE05MOAS-GL001-03-ADCPAM000,0,1000,Glider Science Bay
CE05MOAS-GL001-04-DOSTAM000,0,1000,Glider Science Bay
CE05MOAS-GL001-05-CTDGVM000,0,1000,Glider Science Bay
CE05MOAS-GL002-01-PARADM000,0,1000,Glider Science Bay
CE05MOAS-GL002-02-FLORTM000,0,1000,Glider Science Bay
CE05MOAS-GL002-03-ADCPAM000,0,1000,Glider Science Bay
CE05MOAS-GL002-04-DOSTAM000,0,1000,Glider Science Bay
CE05MOAS-GL002-05-CTDGVM000,0,1000,Glider Science Bay
CE05MOAS-GL003-01-PARADM000,0,1000,Glider Science Bay
CE05MOAS-GL003-02-FLORTM000,0,1000,Glider Science Bay
CE05MOAS-GL003-03-ADCPAM000,0,1000,Glider Science Bay
CE05MOAS-GL003-04-DOSTAM000,0,1000,Glider Science Bay
CE05MOAS-GL003-05-CTDGVM000,0,1000,Glider Science Bay
CE05MOAS-GL004-01-PARADM000,0,1000,Glider Science Bay
CE05MOAS-GL004-02-FLORTM000,0,1000,Glider Science Bay
CE05MOAS-GL004-03-ADCPAM000,0,1000,Glider Science Bay
CE05MOAS-GL004-04-DOSTAM000,0,1000,Glider Science Bay
CE05MOAS-GL004-05-CTDGVM000,0,1000,Glider Science Bay
CE05MOAS-GL005-01-PARADM000,0,1000,Glider Science Bay
CE05MOAS-GL005-02-FLORTM000,0,1000,Glider Science Bay
CE05MOAS-GL005-03-ADCPAM000,0,1000,Glider Science Bay
CE05MOAS-GL005-04-DOSTAM000,0,1000,Glider Science Bay
CE05MOAS-GL005-05-CTDGVM000,0,1000,Glider Science Bay
CE05MOAS-GL006-01-PARADM000,0,1000,Glider Science Bay
CE05MOAS-GL006-02-FLORTM000,0,1000,Glider Science Bay
CE05MOAS-GL006-03-ADCPAM000,0,1000,Glider Science Bay
CE05MOAS-GL006-04-DOSTAM000,0,1000,Glider Science Bay
CE05MOAS-GL006-05-CTDGVM000,0,1000,Glider Science Bay
CE06ISSM-MFD35-01-VEL3DD000,29,29,Multi-Function Node
CE06ISSM-MFD35-02-PRESFA000,29,29,Multi-Function Node
CE06ISSM-MFD35-04-ADCPTM000,29,29,Multi-Function Node
CE06ISSM-MFD35-05-PCO2WB000,29,29,Multi-Function Node
CE06ISSM-MFD35-06-PHSEND000,29,29,Multi-Function Node
CE06ISSM-MFD37-01-OPTAAD000,29,29,Multi-Function Node
CE06ISSM-MFD37-03-CTDBPC000,29,29,Multi-Function Node
CE06ISSM-MFD37-04-DOSTAD000,29,29,Multi-Function Node
CE06ISSM-MFD37-06-CAMDSA000,29,29,Multi-Function Node
CE06ISSM-MFD37-07-ZPLSCC000,29,29,Multi-Function Node
CE06ISSM-RID16-01-OPTAAD000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-02-FLORTD000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-03-CTDBPC000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-03-DOSTAD000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-04-VELPTA000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-05-PCO2WB000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-06-PHSEND000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-07-NUTNRB000,7,7,Near Surface Instrument Frame
CE06ISSM-RID16-08-SPKIRB000,7,7,Near Surface Instrument Frame
CE06ISSM-SBD17-01-MOPAK0000,0,0,"Buoy Well, center of Mass"
CE06ISSM-SBD17-04-VELPTA000,1,1,Bottom of Buoy
CE06ISSM-SBD17-05-ACOMM0000,1,1,Bottom of Buoy
CE06ISSP-PL001-01-ACOMM0000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-02-DOSTAJ000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-04-OPTAAJ000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-05-VELPTJ000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-06-NUTNRJ000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-07-SPKIRJ000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-08-FLORTJ000,0,29,Surface Piercing Profiler
CE06ISSP-SP001-09-CTDPFJ000,0,29,Surface Piercing Profiler
