reference_designator,name
GS02HYPM-MPM01,Mid-Water Platform
GS02HYPM-RIM01,Mooring Riser
GS02HYPM-WFP02,Wire-Following Profiler 1
GS02HYPM-WFP03,Wire-Following Profiler 2
GS03FLMA-RIM01,Mooring Riser
GS03FLMA-RIS01,Mooring Riser
GS03FLMB-RIM01,Mooring Riser
GS03FLMB-RIS01,Mooring Riser
GS05MOAS-GL001,Open Ocean Glider 1
GS05MOAS-GL002,Open Ocean Glider 2
GS05MOAS-GL003,Open Ocean Glider 3
GS05MOAS-PG001,Global Profiling Glider 1
GS05MOAS-PG002,Global Profiling Glider 2
RS01SBPD-DP01A,Deep Profiler
RS01SBPS-PC01A,Platform Interface Controller
RS01SBPS-SF01A,Shallow Profiler
RS01SLBS-LJ01A,Low-Power Jbox
RS01SLBS-MJ01A,Medium-Power Jbox
RS01SUM1-LJ01B,Low-Power Jbox
RS01SUM2-MJ01B,Medium-Power Jbox
RS03ASHS-ID03A,Camera Frame
RS03ASHS-MJ03B,Medium-Power Jbox
RS03AXBS-LJ03A,Low-Power Jbox
RS03AXBS-MJ03A,Medium-Power Jbox
RS03AXPD-DP03A,Deep Profiler
RS03AXPS-PC03A,Platform Interface Controller
RS03AXPS-SF03A,Shallow Profiler
RS03CCAL-MJ03F,Medium-Power Jbox
RS03ECAL-MJ03E,Medium-Power Jbox
RS03INT1-MJ03C,Medium-Power Jbox
RS03INT2-MJ03D,Medium-Power Jbox
